,Year of Observation,Insurance Period,Residential,Building Painted,Building Fenced,Garden,Settlement,Building Dimension,Building Type,Date Of Occupancy,Number of Windows,Geo Code,Claim
4651,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,732,1,1964,1,74010,0
4652,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,6700,1,2011,7,74010,0
4653,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,6700,1,2011,7,74010,0
4654,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,620,1,1930,4,74010,0
4655,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,905,1,2013,3,74010,0
4656,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1846,1,1962,6,74010,0
4657,2014,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1846,1,1962,6,74010,0
4658,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,800,1,1960,4,74010,0
4659,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,4895,1,1980,7,74010,1
4660,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,3767,1,1980,4,74010,0
4661,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,7823,1,1980,4,74010,0
4662,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,765,1,1850,4,74010,0
4663,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,765,1,1850,4,74010,0
4664,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,9432,1,1960,8,74011,1
4665,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,500,1,1950,2,74011,0
4666,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1836,1,1999,3,74011,0
4667,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1600,1,1960,4,74011,1
4668,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,3011,1,1988,4,74012,0
4669,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,6850,1,1988,4,74012,0
4670,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,6800,1,1988,4,74012,1
4671,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,4300,1,1988,4,74012,1
4672,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,4300,1,1988,4,74012,0
4673,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,3245,1,2008,7,74012,0
4674,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,4395,1,2009,5,74012,0
4675,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,4172,1,1989,3,74012,0
4676,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3018,1,1960,5,74012,1
4677,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,352,1,2000,2,74012,1
4678,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,4251,1,2007,6,74012,0
4679,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,500,1,1924,5,74012,0
4680,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,5640,1,2012,7,74012,0
4681,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,5640,1,2012,7,74012,0
4682,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2220,1,2012,4,74012,1
4683,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2913,1,1988,4,74012,0
4684,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3550,1,1965,7,74012,0
4685,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1000,1,1980,4,74012,0
4686,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,2658,1,2006,5,74014,0
4687,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,2658,1,2006,5,74014,0
4688,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2450,1,2009,3,74016,0
4689,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,5140,1,2008,2,74016,0
4690,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2143,1,2000,3,74016,0
4691,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1540,1,2009,4,74018,0
4692,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1540,1,2009,4,74018,0
4693,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1540,1,2009,4,74018,1
4694,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1100,1,1988,4,74033,0
4695,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,3992,1,1980,4,74033,0
4696,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3000,1,2010,4,74040,0
4697,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,3142,1,1988,4,74042,0
4698,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,3142,1,1988,4,74042,0
4699,2014,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1932,1,2006,4,74042,0
4700,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1932,1,2006,4,74042,0
4701,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1800,1,1988,4,74042,0
4702,2015,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1800,1,1988,4,74042,0
4703,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,725,1,1960,4,74042,0
4704,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1025,1,1960,5,74042,0
4705,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1092,1,1960,4,74042,0
4706,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1092,1,1960,4,74042,0
4707,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,954,1,1988,4,74043,0
4708,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,940,1,1988,4,74056,0
4709,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,940,1,1988,4,74056,0
4710,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1025,1,2011,5,74056,1
4711,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,350,1,1951,3,74056,0
4712,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,350,1,1951,3,74056,0
4713,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,520,1,1965,4,74056,0
4714,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,448,1,1955,3,74056,0
4715,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,448,1,1955,3,74056,0
4716,2012,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,2690,1,2012,3,74056,0
4717,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3020,1,1963,5,74056,0
4718,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,5214,1,1980,4,74056,0
4719,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,5214,1,1980,4,74056,0
4720,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1320,1,1988,4,74056,0
4721,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,5800,1,1988,4,74056,0
4722,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1062,1,1988,4,74056,0
4723,2014,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,2080,1,1980,3,74056,0
4724,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1250,1,1988,4,74056,0
4725,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,2000,1,1980,4,74058,0
4726,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,2073,1,1990,4,74058,0
4727,2014,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,2073,1,1990,4,74058,0
4728,2012,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,4100,1,2012,4,74058,0
4729,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,600,1,1984,3,74063,0
4730,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1190,1,1979,3,74063,0
4731,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1100,1,1978,3,74063,0
4732,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,850,1,1980,4,74070,1
4733,2014,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,3335,1,1980,4,74081,1
4734,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1000,1,1960,4,74081,0
4735,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1302,1,1988,4,74081,0
4736,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,4858,1,1988,4,74082,1
4737,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,520,1,1980,4,74083,0
4738,2015,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,520,1,1980,4,74083,0
4739,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,2200,1,1980,5,74083,0
4740,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,300,1,1961,3,74085,0
4741,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,6950,1,2010,3,74087,0
4742,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,6950,1,2010,3,74087,1
4743,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,4979,1,1980,4,74093,1
4744,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2733,1,1980,4,74093,0
4745,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1862,1,1980,4,74093,0
4746,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,5900,1,2004,3,74094,1
4747,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,724,1,1988,4,74094,0
4748,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,421,1,1972,3,74099,0
4749,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,830,1,2008,4,74104,0
4750,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,607,1,1988,4,74104,0
4751,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1920,1,2008,4,74104,0
4752,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,305,1,2000,3,74104,0
4753,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,5022,1,1988,4,74105,1
4754,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3989,1,2001,6,74119,0
4755,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,700,1,1980,4,74119,0
4756,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1589,1,1988,4,74119,0
4757,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1589,1,1988,4,74119,0
4758,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2000,1,2007,4,74123,0
4759,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,750,1,1964,3,74133,0
4760,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,5013,1,1970,7,74133,0
4761,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,5013,1,1970,7,74133,0
4762,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,6000,1,2011,5,74137,0
4763,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,797,1,1960,4,74137,0
4764,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1002,1,1980,4,74140,0
4765,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1002,1,1980,4,74140,0
4766,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2100,1,2002,4,74143,0
4767,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2100,1,2002,4,74143,0
4768,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2100,1,1988,4,74143,0
4769,2014,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,500,1,1996,3,74161,0
4770,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,750,1,1960,4,74164,0
4771,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1887,1,2000,4,74164,1
4772,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2250,1,1988,4,74164,0
4773,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,841,1,1960,4,74169,0
4774,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,841,1,1960,4,74169,0
4775,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,746,1,1960,4,74169,0
4776,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,500,1,1980,4,74173,0
4777,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,500,1,1980,4,74173,0
4778,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1430,1,1980,4,74173,0
4779,2016,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1430,1,1980,4,74173,0
4780,2013,6 Months - 1 Year,0,Not Painted,Fenced,Has Garden,Rural area,6203,1,1990,5,74173,0
4781,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,356,1,1980,4,74173,0
4782,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,484,1,1951,4,74173,0
4783,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,517,1,1928,3,74173,0
4784,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,360,1,1960,4,74173,0
4785,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,360,1,1960,4,74173,0
4786,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,575,1,1962,3,74173,0
4787,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3674,1,1983,5,74173,0
4788,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3674,1,1983,5,74173,0
4789,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,540,1,1960,4,74173,0
4790,2012,6 Months - 1 Year,0,Not Painted,Fenced,Has Garden,Rural area,350,1,1960,3,74173,0
4791,2014,6 Months - 1 Year,0,Not Painted,Fenced,Has Garden,Rural area,350,1,1960,3,74173,0
4792,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2600,1,1965,6,74173,0
4793,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,625,1,1999,3,74180,0
4794,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1310,1,1988,4,74180,0
4795,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1310,1,1988,4,74180,0
4796,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1050,1,1960,4,74182,0
4797,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1050,1,1960,4,74189,1
4798,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,785,1,1978,4,74189,0
4799,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,950,1,1978,5,74189,0
4800,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1522,1,1988,4,74190,0
4801,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,615,1,1968,3,74208,0
4802,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,300,1,1980,4,74208,0
4803,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,3610,1,1988,4,74213,1
4804,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3050,1,2002,2,74213,1
4805,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,400,1,1980,4,74215,0
4806,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,630,1,1965,4,74217,0
4807,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,630,1,1965,4,74217,0
4808,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,5200,1,2009,5,74220,0
4809,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,3800,1,1988,4,74220,1
4810,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,883,1,1980,4,74224,0
4811,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3300,1,2001,3,74224,1
4812,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3300,1,2001,3,74224,0
4813,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3300,1,2001,3,74224,1
4814,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3300,1,2001,3,74224,1
4815,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2910,1,1992,7,74224,0
4816,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,5127,1,1968,7,74224,0
4817,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2289,1,1980,4,74224,1
4818,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2124,1,1988,4,74224,0
4819,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1165,1,1988,4,74224,1
4820,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1165,1,1988,4,74224,1
4821,2013,0 - 5 Months,0,Painted,Not Fenced,Has Garden,Urban area,2800,1,1960,4,74224,0
4822,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1441,1,1988,4,74225,1
4823,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,573,1,1960,3,74225,0
4824,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,600,1,1947,3,74236,0
4825,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,600,1,1947,3,74236,0
4826,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,750,1,1900,4,74236,0
4827,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,750,1,1900,4,74236,0
4828,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1773,1,1980,4,74238,0
4829,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2460,1,1960,4,74241,0
4830,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,2200,1,2011,4,74243,0
4831,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1935,1,2012,2,74243,0
4832,2012,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,536,1,1949,4,74243,0
4833,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,900,1,2013,4,74243,0
4834,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2050,1,1960,4,74243,0
4835,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,700,1,2016,3,74245,0
4836,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,325,1,1988,4,74256,0
4837,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,325,1,1988,4,74256,0
4838,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,283,1,1967,3,74256,0
4839,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,4739,1,1980,4,74256,1
4840,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1750,1,1970,4,74256,0
4841,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,290,1,1959,4,74256,0
4842,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,660,1,1980,4,74256,0
4843,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,2200,1,1988,4,74258,0
4844,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,2200,1,1988,4,74258,0
4845,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1250,1,1980,4,74264,0
4846,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1250,1,1980,4,74264,0
4847,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,250,1,1980,4,74266,0
4848,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,8550,1,2012,6,74268,1
4849,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2931,1,1980,4,74268,0
4850,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,830,1,1988,4,74270,1
4851,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,5600,1,2008,6,74276,0
4852,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2140,1,1988,4,74278,0
4853,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,887,1,2007,4,74279,0
4854,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1200,1,1980,4,74279,0
4855,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2385,1,2004,6,74279,0
4856,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,700,1,1978,3,74281,0
4857,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,7595,1,2011,4,74281,1
4858,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,7595,1,2011,4,74281,0
4859,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,2290,1,1980,4,74281,0
4860,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,2290,1,1980,4,74281,0
4861,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,300,1,2005,3,74290,0
4862,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,300,1,2005,3,74290,0
4863,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,3473,1,2008,3,74293,1
4864,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2670,1,1988,4,74298,0
4865,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1600,1,1988,4,74298,0
4866,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,12800,1,2008,6,74305,0
4867,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,12800,1,2008,6,74305,1
4868,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,600,1,1900,3,74305,0
4869,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,500,1,1960,4,74924,0
4870,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,3640,4,1890,8,75101,1
4871,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,3640,4,1890,8,75101,1
4872,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,328,4,1900,4,75101,0
4873,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1157,4,1800,4,75101,0
4874,2015,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,500,4,1960,4,75102,0
4875,2013,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,1440,4,1960,4,75102,1
4876,2013,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,896,4,1960,4,75103,1
4877,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,450,4,1950,5,75103,0
4878,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,3248,4,1900,6,75103,0
4879,2016,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,980,4,1997,7,75103,0
4880,2012,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,908,4,1960,4,75103,0
4881,2012,0 - 5 Months,1,Not Painted,Not Fenced,Has Garden,Urban area,500,4,1960,4,75103,1
4882,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1580,4,1960,4,75104,0
4883,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,865,4,1900,6,75104,0
4884,2015,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,1400,4,1960,4,75104,1
4885,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,400,4,1960,4,75104,0
4886,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,800,4,1950,5,75104,0
4887,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1294,4,1960,4,75104,1
4888,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1200,4,1960,4,75105,1
4889,2014,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1000,4,1960,4,75105,0
4890,2016,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1000,4,1960,4,75105,1
4891,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1120,4,1960,4,75105,0
4892,2012,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,812,4,1960,4,75105,0
4893,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1117,4,1980,6,75105,1
4894,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1117,4,1980,6,75105,1
4895,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1500,4,1850,6,75105,1
4896,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,900,4,1920,7,75105,0
4897,2013,0 - 5 Months,1,Not Painted,Not Fenced,Has Garden,Urban area,400,4,1960,4,75105,1
4898,2015,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,2470,4,1960,4,75105,0
4899,2014,6 Months - 1 Year,1,Not Painted,Not Fenced,Has Garden,Urban area,2131,4,1960,4,75105,0
4900,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,882,4,1970,6,75105,0
